song_id,genre_clean,language,cluster_direct,cluster_pca,cluster_ae,cluster_cvae
SOGSMXL12A81C23D88,chanson,en,5,0,0,4
SOMBCOW12AAF3B229F,chanson,en,6,0,7,1
SOEYIHF12AB017B5F4,other,en,2,9,2,1
SODJYEC12A8C13D757,other,en,1,8,8,0
SOGSOUE12A58A76443,other,en,0,1,2,8
SOVVDCO12AB0187AF7,other,en,8,3,2,1
SOKSZVC12A8C142004,other,en,1,8,1,5
SORWTIF12A6D4FAA41,other,en,5,4,6,0
SOZQSGL12AF72A9145,other,en,1,8,8,0
SOKRHNY12AB01837DB,other,en,6,5,2,3
SOBTEHX12A6D4FBF18,other,en,1,8,1,6
SOXGDVW12AB01864E7,hip hop,en,8,7,1,8
SOKMPKV12A67AE241B,other,en,1,8,1,4
SOMVPGP12AB01881FF,other,en,4,5,2,3
SOGXENE12AB01854EB,other,en,8,8,8,6
SOBHQIJ12A6D4FC7D3,hip hop,en,9,3,6,2
SODENZR12AAF3B13B9,other,en,2,9,2,1
SOEKSGJ12A67AE227E,other,en,8,7,9,1
SOVPBXO12AB0188671,other,en,7,6,3,0
SOAMBCI12AC4685087,other,en,9,6,7,4
SOQNRHE12A8AE4849A,other,en,3,1,2,3
SOZKFHV12A6D4F996F,other,en,0,0,0,7
SOSRIVF12AB017DF0E,other,en,2,9,2,1
SOIDSPL12AB0182DF0,other,en,8,1,5,3
SOPVMQT12A679C8040,other,en,8,7,9,6
SOIAZJL12A6D4F854E,other,en,1,8,9,6
SOCPFDY12AB018300D,other,en,0,5,8,3
SOVOTBC12A6D4F696A,heavy metal,en,8,7,8,6
SOOQCOC12A8C132A5A,blues-rock,en,0,7,4,8
SOQYSAU12AB018263A,other,en,0,0,2,1
SOKLGLN12A8C13D204,other,en,0,0,2,3
SOMMPRY12A8C131C5C,latin jazz,en,5,6,2,7
SORDYIS12A6D4F64EC,other,en,5,0,5,3
SOFIYUN12AB0184842,other,en,7,3,3,1
SOIHVVZ12A8C138E9D,blues-rock,en,4,7,5,8
SOJIRAY12A8C141F8B,other,en,5,0,5,1
SOMGMSS12A8C13492A,other,en,5,6,6,7
SOMAFQT12A8AE47E8D,dancehall,en,5,4,6,4
SOSNDGZ12AB017D82F,blues-rock,en,0,1,5,1
SOOOCMS12A8C1413F3,other,en,7,3,3,5
SOHJXBB12A8C1437B7,blues-rock,en,6,7,5,6
SOIKPOX12A58A7BA0B,other,en,8,6,0,7
SONTYQS12AB017F461,other,en,3,0,4,1
SOVZOZW12AB018881A,roots reggae,en,5,4,6,5
SOYMQQN12A58A7D293,other,en,6,1,8,0
SOKRTAB12A8C1371C9,other,en,5,4,6,1
SOMZNFA12A6D4F8A2A,other,en,9,6,2,0
SOIGFAH12A8AE4697D,dancehall,en,6,5,6,7
SOGLXHC12A58A7C184,other,en,8,8,3,8
SOSMUXL12A8C136808,other,en,9,1,2,0
