song_id,artist_name,title,tempo,loudness,duration,cluster
,Raphaël,Je Sais Que La Terre Est Plate,0,0,148.74077,0
,Julie Zenatti,On Efface,0,0,252.99546,2
,The Baltimore Consort,Howells Delight,0,0,78.0273,0
,I Hate Sally,Martha Served,0,0,163.63057,0
,Orlando Pops Orchestra,Zip-A-Dee-Doo-Dah (Song of the South),0,0,199.99302,2
,Brand X,Liquid Time (composition by John Goodsall),0,0,279.35302,1
,Amorphis,Misery Path (From the Privilege of Evil),0,0,255.03302,2
,Inoki,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),0,0,259.3171,2
,Dead Kennedys,Halloween,0,0,216.842,2
,Brigada Victor Jara,Parto em terras distantes,0,0,312.99873,1
,Atreyu,You Eclipsed By Me (Album Version),0,0,218.90567,2
,Mistress,Shovel,0,0,580.70159,3
,Shadows Fall,What Drives The Weak,0,0,283.48036,1
,Vanessa Daou,Life Force,0,0,229.66812,2
,Dave Brockie Experience,The Dance Of Europe,0,0,135.8624,0
,Spoonie Gee,Spoonie Is Back,0,0,393.63873,1
,R. Carlos Nakai,Blood Round Dance Song (World),0,0,146.33751,0
,Linkin Park,Crawling (Album Version),0,0,208.95302,2
,Koffi Olomidé,Bennie,0,0,625.78893,3
,Alain-François,Playa del sous-sol,0,0,172.01587,0
,Billy May & His Orchestra,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),0,0,312.92036,1
,Phil Collins,I'm Not Moving,0,0,154.93179,0
,Philippe Sarde,Grand Frère,0,0,528.22159,3
,Sister Rosetta Tharpe & Marie,Up Above My Head,0,0,146.80771,0
,Oasis,Columbia,0,0,324.80608,1
,Kiss,Radar For Love,0,0,241.08363,2
,John Cale,Antarctica Starts Here,0,0,199.96689,2
,UFO,Out In The Street (Live) (2008 Digital Remaster),0,0,314.17424,1
,Back Door Slam,Heavy On My Mind (Album Version),0,0,319.84281,1
,Cool cavemen,Everyone make love,0,0,234.762,2
,Dave Hollister,Calm Da Seas,0,0,258.16771,2
,Nestor Torres,Ran Kan Kan,0,0,191.63383,2
,The Impressions,I Found You,0,0,207.35955,2
,Casa Bulga,Afraid Of Change (Tribal Vocal Mix),0,0,401.24036,1
,Debbie Davies,Grow Up_ Grow Old,0,0,283.79383,1
,Willie Clayton,Walk Away From Love,0,0,260.51873,2
,Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version),0,0,258.29832,2
,Tanto Metro & Devonte,Strange Things,0,0,158.1971,0
,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,0,0,208.84853,2
,Naseebo Lal,Dholna Dholna,0,0,376.16281,1
,Hot Tuna,Parchman Farm,0,0,461.71383,3
,Daddy Yankee,A Lo Clasico,0,0,235.15383,2
,Hacken Lee,Zhi Xiang Ni hui Yi,0,0,424.82893,3
,Jimmy Riley,Amaze,0,0,216.39791,2
,The Cortinas,Radio Rape,0,0,219.01016,2
,Masta Ace Incorporated,Ain't No Game,0,0,295.1571,1
,Jongo Trio,Cavaleiro De Aruanda,0,0,157.72689,0
,George Nooks,TELL ME WHY,0,0,221.90975,2
,Energy,Czwarty,0,0,310.9873,1
,Felix Slatkin/Concert Arts Symphonic Band,Washington Post (1998 Digital Remaster),0,0,151.17016,0
,Eddie Palmieri,No Pienses Asi,0,0,266.50077,2
,William Orbit,Cavalleria Rusticana,0,0,199.8624,2
,Chris Brown,Forever,0,0,389.25016,1
,HA-ASH,Amor a Medias,0,0,253.90975,2
,Radiohead,15 Step,0,0,237.21751,2
,Kashief Lindo,I Love Your Way,0,0,238.15791,2
,BoDeans,Lookin' For Me Somewhere,0,0,186.20036,2
,Bon Jovi,Raise Your Hands,0,0,311.27465,1
,John Tchicai,Rainbow Dance,0,0,182.36036,2
,Bongzilla,Champagne & Reefer,0,0,286.58893,1
,Otis Spann,No More Doggin',0,0,180.40118,2
,John Holt,I Need a Veggie,0,0,228.30975,2
,Danny Wilson,Get Happy,0,0,126.53669,0
,Al Dexter,I'll Wait for You Dear,0,0,150.9873,0
,Van Halen,From Afar (Album Version),0,0,324.23138,1
,Capleton,Cry For Love,0,0,216.81587,2
,Tim Wilson,Uncle B.S. - 1963,0,0,100.67546,0
,Kisha,Wohär dr Wind wäiht,0,0,203.04934,2
,The Chap,Volumatic Spacer Device,0,0,207.28118,2
,DJ Vix,Putt Jhatt Da Gulabi Phull Varga,0,0,98.76853,0
,Ziggy Marley And The Melody Makers,Namibia,0,0,246.54322,2
,Crematorium,Unlearn,0,0,210.1024,2
,Månegarm,Vargbrodern Talar,0,0,92.76036,0
,Ernest Ranglin / Floyd Lloyd,Sweet Lady,0,0,271.77751,1
,Franco,Forever,0,0,251.61098,2
,Britney Spears,3,0,0,465.47546,3
,Danny Elfman,Sleuthing,0,0,140.87791,0
,Junior Kimbrough,Meet Me in the City,0,0,190.06649,2
,Liquid Gang,Drama  (LP Version),0,0,226.0371,2
,Everly Brothers,Oh What A Feeling,0,0,125.02159,0
,Flowin Immo et Les Freaqz,So hell mit Klause Duo,0,0,225.59302,2
,Philip Glass,Concerto For Saxophone (Quartet Version): Movement IV,0,0,231.10485,2
,Luis Alberto Spinetta,Llama y Verás,0,0,209.47546,2
,Ramy Ayach,Heyya Heyya,0,0,239.80363,2
,Frank Chacksfield & His Orchestra,Misty Valley,0,0,155.37587,0
,Frl.Menke,Sehnsuchtsexpress,0,0,217.20771,2
,Agnostic Front,Come Alive,0,0,122.17424,0
,Snow Patrol,Spitting Games,0,0,229.642,2
,Rise Against,Drones,0,0,181.57669,2
,The Rance Allen Group,Do Your Will (Album Version),0,0,337.162,1
