song_id,artist_name,title,tempo,loudness,duration
SOGSMXL12A81C23D88,Raphaël,Je Sais Que La Terre Est Plate,124.059,-9.636,148.74077
SOMBCOW12AAF3B229F,Julie Zenatti,On Efface,80.084,-11.061,252.99546
SOEYIHF12AB017B5F4,The Baltimore Consort,Howells Delight,54.874,-24.14,78.0273
SODJYEC12A8C13D757,I Hate Sally,Martha Served,77.15,-5.795,163.63057
SOGSOUE12A58A76443,Orlando Pops Orchestra,Zip-A-Dee-Doo-Dah (Song of the South),120.382,-16.477,199.99302
SOVVDCO12AB0187AF7,Brand X,Liquid Time (composition by John Goodsall),99.024,-12.474,279.35302
SOKSZVC12A8C142004,Amorphis,Misery Path (From the Privilege of Evil),175.673,-4.393,255.03302
SORWTIF12A6D4FAA41,Inoki,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),87.999,-5.05,259.3171
SOZQSGL12AF72A9145,Dead Kennedys,Halloween,92.897,-4.264,216.842
SOKRHNY12AB01837DB,Brigada Victor Jara,Parto em terras distantes,86.981,-13.885,312.99873
SOBTEHX12A6D4FBF18,Atreyu,You Eclipsed By Me (Album Version),157.715,-4.707,218.90567
SOXGDVW12AB01864E7,Mistress,Shovel,146.331,-4.523,580.70159
SOKMPKV12A67AE241B,Shadows Fall,What Drives The Weak,84.992,-4.076,283.48036
SOMVPGP12AB01881FF,Vanessa Daou,Life Force,79.96,-19.293,229.66812
SOGXENE12AB01854EB,Dave Brockie Experience,The Dance Of Europe,99.959,-3.312,135.8624
SOBHQIJ12A6D4FC7D3,Spoonie Gee,Spoonie Is Back,135.503,-6.619,393.63873
SODENZR12AAF3B13B9,R. Carlos Nakai,Blood Round Dance Song (World),104.989,-25.651,146.33751
SOEKSGJ12A67AE227E,Linkin Park,Crawling (Album Version),105.095,-6.052,208.95302
SOVPBXO12AB0188671,Koffi Olomidé,Bennie,89.572,-7.164,625.78893
SOAMBCI12AC4685087,Alain-François,Playa del sous-sol,107.986,-5.704,172.01587
SOQNRHE12A8AE4849A,Billy May & His Orchestra,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),103.532,-10.703,312.92036
SOZKFHV12A6D4F996F,Phil Collins,I'm Not Moving,100.042,-15.433,154.93179
SOSRIVF12AB017DF0E,Philippe Sarde,Grand Frère,137.658,-23.178,528.22159
SOIDSPL12AB0182DF0,Sister Rosetta Tharpe & Marie,Up Above My Head,80.893,-7.386,146.80771
SOPVMQT12A679C8040,Oasis,Columbia,100.146,-7.588,324.80608
SOIAZJL12A6D4F854E,Kiss,Radar For Love,99.761,-8.021,241.08363
SOCPFDY12AB018300D,John Cale,Antarctica Starts Here,110.1,-20.172,199.96689
SOVOTBC12A6D4F696A,UFO,Out In The Street (Live) (2008 Digital Remaster),131.5,-6.763,314.17424
SOOQCOC12A8C132A5A,Back Door Slam,Heavy On My Mind (Album Version),92.971,-4.325,319.84281
SOQYSAU12AB018263A,Cool cavemen,Everyone make love,93.715,-5.976,234.762
SOKLGLN12A8C13D204,Dave Hollister,Calm Da Seas,117.936,-5.193,258.16771
SOMMPRY12A8C131C5C,Nestor Torres,Ran Kan Kan,78.843,-5.648,191.63383
SORDYIS12A6D4F64EC,The Impressions,I Found You,121.896,-16.489,207.35955
SOFIYUN12AB0184842,Casa Bulga,Afraid Of Change (Tribal Vocal Mix),0.0,-7.327,401.24036
SOIHVVZ12A8C138E9D,Debbie Davies,Grow Up_ Grow Old,107.183,-7.961,283.79383
SOJIRAY12A8C141F8B,Willie Clayton,Walk Away From Love,105.863,-10.646,260.51873
SOMGMSS12A8C13492A,Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version),152.99,-5.308,258.29832
SOMAFQT12A8AE47E8D,Tanto Metro & Devonte,Strange Things,104.465,-6.712,158.1971
SOSNDGZ12AB017D82F,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,111.523,-9.186,208.84853
SOOOCMS12A8C1413F3,Naseebo Lal,Dholna Dholna,151.983,-12.746,376.16281
SOHJXBB12A8C1437B7,Hot Tuna,Parchman Farm,138.512,-9.989,461.71383
SOIKPOX12A58A7BA0B,Daddy Yankee,A Lo Clasico,91.026,-4.13,235.15383
SONTYQS12AB017F461,Hacken Lee,Zhi Xiang Ni hui Yi,124.984,-15.198,424.82893
SOVZOZW12AB018881A,Jimmy Riley,Amaze,159.943,-6.895,216.39791
SOYMQQN12A58A7D293,The Cortinas,Radio Rape,134.985,-7.687,219.01016
SOKRTAB12A8C1371C9,Masta Ace Incorporated,Ain't No Game,88.12,-7.687,295.1571
SOMZNFA12A6D4F8A2A,Jongo Trio,Cavaleiro De Aruanda,144.581,-8.151,157.72689
SOIGFAH12A8AE4697D,George Nooks,TELL ME WHY,152.172,-7.398,221.90975
SOGLXHC12A58A7C184,Energy,Czwarty,87.512,-5.941,310.9873
SOSMUXL12A8C136808,Felix Slatkin/Concert Arts Symphonic Band,Washington Post (1998 Digital Remaster),124.056,-15.019,151.17016
SOYBJJE12A8C13CC79,Eddie Palmieri,No Pienses Asi,153.309,-17.886,266.50077
SOQKFHB12AB0186B13,William Orbit,Cavalleria Rusticana,131.281,-21.82,199.8624
SOYPBEP12A8AE4853A,Chris Brown,Forever,85.322,-2.991,389.25016
SOAGBQA12AB0180400,HA-ASH,Amor a Medias,136.945,-5.548,253.90975
SOSQIHH12A8C13370B,Radiohead,15 Step,188.91,-7.057,237.21751
SOIFGXP12AB0182AE8,Kashief Lindo,I Love Your Way,86.481,-5.85,238.15791
SOGHPNO12A582A2482,BoDeans,Lookin' For Me Somewhere,156.285,-13.845,186.20036
SOHKLCA12A8C1414AB,Bon Jovi,Raise Your Hands,139.95,-4.857,311.27465
SODOBCV12A8C135BB3,John Tchicai,Rainbow Dance,154.731,-31.391,182.36036
SOESBTV12A8C1407EB,Bongzilla,Champagne & Reefer,97.265,-4.627,286.58893
SOEKXKK12A8C1367A0,Otis Spann,No More Doggin',63.255,-12.931,180.40118
SOCOSSE12AB01828C7,John Holt,I Need a Veggie,131.297,-9.603,228.30975
SORXMMR12A6D4FBCF7,Danny Wilson,Get Happy,92.591,-8.515,126.53669
SONWNRW12AB018290A,Al Dexter,I'll Wait for You Dear,102.707,-16.627,150.9873
SORKWDV12A8C13B43B,Van Halen,From Afar (Album Version),87.899,-9.057,324.23138
SOSFURN12A58A7AC5F,Capleton,Cry For Love,137.425,-10.336,216.81587
SOBOJXY12A6D4F79A0,Tim Wilson,Uncle B.S. - 1963,88.576,-12.36,100.67546
