method,k,silhouette,calinski_harabasz
PCA+KMeans,2,0.12425428628921509,7.17764139175415
PCA+KMeans,3,0.12628594040870667,9.929408073425293
PCA+KMeans,4,0.12384126335382462,9.669271469116211
PCA+KMeans,5,0.08291684091091156,7.941651821136475
PCA+KMeans,6,0.10709962993860245,8.986496925354004
PCA+KMeans,7,0.1318141222000122,9.290350914001465
PCA+KMeans,8,0.13914939761161804,8.77652645111084
PCA+KMeans,9,0.14716419577598572,8.914974212646484
PCA+KMeans,10,0.12932363152503967,8.475460052490234
VAE+KMeans,2,0.06817681342363358,9.137797355651855
VAE+KMeans,3,0.05707173049449921,7.654577255249023
VAE+KMeans,4,0.05657746642827988,7.314694881439209
VAE+KMeans,5,0.04729654639959335,6.420943737030029
VAE+KMeans,6,0.054725322872400284,6.68814754486084
VAE+KMeans,7,0.06809991598129272,6.556008338928223
VAE+KMeans,8,0.057474199682474136,6.125242710113525
VAE+KMeans,9,0.05589292570948601,5.8498969078063965
VAE+KMeans,10,0.05790272355079651,5.52935266494751
